Separations,Department,Title,Gender
29,Sales,Staff,M
7,Production,"Senior Engineer",M
8,Research,Staff,F
14,Sales,Staff,F
8,"Human Resources",Staff,F
12,"Human Resources",Staff,M
6,Finance,Staff,M
8,Marketing,Staff,F
28,Production,Engineer,M
8,Development,"Senior Engineer",M
5,Production,"Assistant Engineer",F
19,Production,Engineer,F
9,Sales,"Senior Staff",M
2,Marketing,"Senior Staff",F
37,Development,Engineer,M
8,"Customer Service",Staff,M
4,Development,"Technique Leader",F
32,Development,Engineer,F
10,Finance,Staff,F
4,Sales,"Senior Staff",F
1,Finance,"Senior Staff",F
9,"Customer Service",Staff,F
4,"Customer Service","Senior Staff",F
4,Production,"Assistant Engineer",M
14,Marketing,Staff,M
6,Production,"Senior Engineer",F
7,Development,"Technique Leader",M
1,"Human Resources","Senior Staff",M
11,Development,"Senior Engineer",F
5,"Quality Management",Engineer,M
2,Development,"Assistant Engineer",F
3,"Quality Management","Senior Engineer",M
9,Research,Staff,M
2,Production,Staff,F
6,Production,"Technique Leader",M
5,Development,"Assistant Engineer",M
1,Research,"Senior Staff",M
4,Marketing,"Senior Staff",M
2,Production,Staff,M
1,Development,"Senior Staff",F
3,Production,"Technique Leader",F
6,"Quality Management",Engineer,F
4,"Customer Service","Senior Staff",M
2,Finance,"Senior Staff",M
1,Research,"Senior Staff",F
1,Development,Staff,F
1,"Quality Management","Technique Leader",F
1,Development,Staff,M
